,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
5261,,,0.002,84.0,mnist_6_200.onnx,unsat/sat,1.3841655254364014,184.0,184.0,abcrown,84.0 mnist_6_200.onnx 0.002,1,1,True
5260,,MNIST,0.002,84.0,mnist_6_200.onnx,unsat,0.1718955039978027,1441.0,84.0,bab,84.0 mnist_6_200.onnx 0.002,1,1,True
2477,,MNIST,0.002,44.0,mnist_3_50.onnx,unsat,0.0885951519012451,757.0,44.0,bab,44.0 mnist_3_50.onnx 0.002,1,1,True
4621,,MNIST,0.002,75.0,mnist_4_1024.onnx,unsat,0.5236220359802246,1285.0,75.0,bab,75.0 mnist_4_1024.onnx 0.002,1,1,True
5258,,,0.002,84.0,mnist_6_100.onnx,unsat/sat,1.4146413803100586,84.0,84.0,abcrown,84.0 mnist_6_100.onnx 0.002,1,1,True
5249,,MNIST,0.002,84.0,mnist_3_50.onnx,unsat,0.0975008010864257,1437.0,84.0,bab,84.0 mnist_3_50.onnx 0.002,1,1,True
2510,,,0.002,44.0,mnist_net_256x4.onnx,unsat,0.222,544.0,,eran,44.0 mnist_net_256x4.onnx 0.002,1,1,True
3989,,MNIST,0.002,66.0,mnist_3_50.onnx,unsat,0.0989339351654052,1131.0,66.0,bab,66.0 mnist_3_50.onnx 0.002,1,1,True
2512,,,0.002,44.0,mnist_net_256x6.onnx,unsat,0.4,244.0,,eran,44.0 mnist_net_256x6.onnx 0.002,1,1,True
2547,,,0.002,45.0,mnist_6_100.onnx,unsat/sat,1.4137332439422607,45.0,45.0,abcrown,45.0 mnist_6_100.onnx 0.002,1,1,True
2548,,MNIST,0.002,45.0,mnist_6_100.onnx,unsat,0.1255247592926025,777.0,45.0,bab,45.0 mnist_6_100.onnx 0.002,1,1,True
4629,,MNIST,0.002,75.0,mnist_6_200.onnx,unsat,0.19046950340271,1288.0,75.0,bab,75.0 mnist_6_200.onnx 0.002,1,1,True
5223,,MNIST,0.002,83.0,mnist_nn.onnx,unsat,0.1129968166351318,1418.0,83.0,bab,83.0 mnist_nn.onnx 0.002,1,1,True
2551,,,0.002,45.0,mnist_6_200.onnx,unsat/sat,1.452756643295288,145.0,145.0,abcrown,45.0 mnist_6_200.onnx 0.002,1,1,True
2552,,MNIST,0.002,45.0,mnist_6_200.onnx,unsat,0.2198841571807861,778.0,45.0,bab,45.0 mnist_6_200.onnx 0.002,1,1,True
2553,,,0.002,45.0,mnist_9_100.onnx,unsat/sat,2.1402359008789062,245.0,245.0,abcrown,45.0 mnist_9_100.onnx 0.002,1,1,True
3976,,,0.002,66.0,fc2.onnx,unsat,0.012,366.0,,eran,66.0 fc2.onnx 0.002,1,1,True
2555,,MNIST,0.002,45.0,mnist_9_100.onnx,unsat,0.2299885749816894,779.0,45.0,bab,45.0 mnist_9_100.onnx 0.002,1,1,True
5221,,,0.002,83.0,mnist_net_256x6.onnx,unsat,0.501,283.0,,eran,83.0 mnist_net_256x6.onnx 0.002,1,1,True
2557,,MNIST,0.002,45.0,mnist_9_200.onnx,unsat,0.2425401210784912,780.0,45.0,bab,45.0 mnist_9_200.onnx 0.002,1,1,True
2558,,,0.002,45.0,mnist_9_200.onnx,unsat/sat,1.9237234592437744,345.0,345.0,abcrown,45.0 mnist_9_200.onnx 0.002,1,1,True
2565,,MNIST,0.002,45.0,mnist_net.onnx,unsat,0.1688311100006103,766.0,45.0,bab,45.0 mnist_net.onnx 0.002,1,1,True
2566,,,0.002,45.0,mnist_net.onnx,unsat,0.095,45.0,,eran,45.0 mnist_net.onnx 0.002,1,1,True
5220,,MNIST,0.002,83.0,mnist_net_256x6.onnx,unsat,0.2000594139099121,1417.0,83.0,bab,83.0 mnist_net_256x6.onnx 0.002,1,1,True
2568,,MNIST,0.002,45.0,mnist_net_256x2.onnx,unsat,0.1218609809875488,768.0,45.0,bab,45.0 mnist_net_256x2.onnx 0.002,1,1,True
3975,,MNIST,0.002,66.0,fc2.onnx,sat,0.0517468452453613,1127.0,66.0,bab,66.0 fc2.onnx 0.002,1,1,True
5225,,,0.002,83.0,mnist_nn.onnx,unsat,0.448,883.0,,eran,83.0 mnist_nn.onnx 0.002,1,1,True
2545,,MNIST,0.002,45.0,mnist_5_100.onnx,unsat,0.1211028099060058,776.0,45.0,bab,45.0 mnist_5_100.onnx 0.002,1,1,True
5226,,,0.002,83.0,rsl18a_linf01.onnx,unsat,0.246,183.0,,eran,83.0 rsl18a_linf01.onnx 0.002,1,1,True
2527,,MNIST,0.002,45.0,fc2.onnx,sat,0.0576608180999755,770.0,45.0,bab,45.0 fc2.onnx 0.002,1,1,True
