,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
6683,,CIFAR,0.002,54.0,convSmallRELU__DiffAI.onnx,unsat,1.4994409084320068,1531.0,54.0,bab,54.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
6682,,,0.002,54.0,convSmallRELU__DiffAI.onnx,unsat,1.308,3054.0,,eran,54.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
11264,,,0.002,86.0,cifar_wide_kw.onnx,unsat/sat,1.332528829574585,86.0,86.0,abcrown,86.0 cifar_wide_kw.onnx 0.002,1,1,True
6662,,CIFAR,0.002,54.0,convMedGRELU__Point.onnx,unsat,3.127047777175904,1610.0,54.0,bab,54.0 convMedGRELU__Point.onnx 0.002,1,1,True
11265,,,0.002,86.0,cifar_wide_kw_simp.onnx,unsat,1.864,86.0,,eran,86.0 cifar_wide_kw_simp.onnx 0.002,1,1,True
6660,,,0.002,54.0,convMedGRELU__Point.onnx,unsat,9.595,654.0,,eran,54.0 convMedGRELU__Point.onnx 0.002,1,1,True
6628,,,0.002,54.0,cifar_base_kw_simp.onnx,unsat,0.951,2954.0,,eran,54.0 cifar_base_kw_simp.onnx 0.002,1,1,True
6627,,CIFAR,0.002,54.0,cifar_base_kw_simp.onnx,sat,1.1587891578674316,1612.0,54.0,bab,54.0 cifar_base_kw_simp.onnx 0.002,1,1,True
6626,,CIFAR,0.002,54.0,cifar_base_kw.onnx,sat,1.2534446716308594,1611.0,54.0,bab,54.0 cifar_base_kw.onnx 0.002,1,1,True
6559,,CIFAR,0.002,53.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,1.748870849609375,1511.0,53.0,bab,53.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
1,,,0.002,0.0,cifar10_2_255.onnx,unsat,99.23,2800.0,,eran,0.0 cifar10_2_255.onnx 0.002,1,1,True
6566,,,0.002,53.0,ffnnRELU__Point_6_500.onnx,unsat,8.577,1853.0,,eran,53.0 ffnnRELU__Point_6_500.onnx 0.002,1,1,True
11303,,,0.002,86.0,convSmallRELU__DiffAI.onnx,unsat,0.799,3086.0,,eran,86.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
11304,,,0.002,86.0,convSmallRELU__PGDK.onnx,unsat/sat,0.0,426.0,426.0,abcrown,86.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6563,,,0.002,53.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,8.518,2053.0,,eran,53.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
11305,,CIFAR,0.002,86.0,convSmallRELU__PGDK.onnx,sat,1.4424705505371094,2446.0,86.0,bab,86.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6561,,CIFAR,0.002,53.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,sat,2.6346583366394043,1514.0,53.0,bab,53.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
11306,,,0.002,86.0,convSmallRELU__PGDK.onnx,unsat,1.225,1586.0,,eran,86.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6558,,,0.002,53.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,8.039,3253.0,,eran,53.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
6625,,,0.002,54.0,cifar_base_kw.onnx,unsat/sat,1.2457711696624756,154.0,154.0,abcrown,54.0 cifar_base_kw.onnx 0.002,1,1,True
6557,,,0.002,53.0,convSmallRELU__Point.onnx,unsat,1.775,3153.0,,eran,53.0 convSmallRELU__Point.onnx 0.002,1,1,True
11307,,CIFAR,0.002,86.0,convSmallRELU__Point.onnx,unsat,2.73095178604126,2449.0,86.0,bab,86.0 convSmallRELU__Point.onnx 0.002,1,1,True
6555,,CIFAR,0.002,53.0,convSmallRELU__Point.onnx,sat,2.542051076889038,1508.0,53.0,bab,53.0 convSmallRELU__Point.onnx 0.002,1,1,True
6554,,CIFAR,0.002,53.0,convSmallRELU__PGDK.onnx,sat,2.464003086090088,1505.0,53.0,bab,53.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6553,,,0.002,53.0,convSmallRELU__PGDK.onnx,unsat/sat,0.0,393.0,393.0,abcrown,53.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6552,,,0.002,53.0,convSmallRELU__PGDK.onnx,unsat,1.224,1553.0,,eran,53.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6551,,CIFAR,0.002,53.0,convSmallRELU__DiffAI.onnx,sat,1.4416718482971191,1503.0,53.0,bab,53.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
11308,,,0.002,86.0,convSmallRELU__Point.onnx,unsat,8.283,3186.0,,eran,86.0 convSmallRELU__Point.onnx 0.002,1,1,True
6592,,,0.002,54.0,cifar10_2_255.onnx,unsat,90.162,2854.0,,eran,54.0 cifar10_2_255.onnx 0.002,1,1,True
6593,,CIFAR,0.002,54.0,cifar10_2_255.onnx,unsat,47.11193227767944,1537.0,54.0,bab,54.0 cifar10_2_255.onnx 0.002,1,1,True
6594,,,0.002,54.0,cifar10_2_255_simplified.onnx,unsat,87.538,1454.0,,eran,54.0 cifar10_2_255_simplified.onnx 0.002,1,1,True
6595,,CIFAR,0.002,54.0,cifar10_2_255_simplified.onnx,unsat,46.9496111869812,1540.0,54.0,bab,54.0 cifar10_2_255_simplified.onnx 0.002,1,1,True
6624,,,0.002,54.0,cifar_base_kw.onnx,unsat,0.967,3454.0,,eran,54.0 cifar_base_kw.onnx 0.002,1,1,True
11276,,,0.002,86.0,convMedGRELU__PGDK_w_0.0078.onnx,unsat,3.92,2386.0,,eran,86.0 convMedGRELU__PGDK_w_0.0078.onnx 0.002,1,1,True
6622,,CIFAR,0.002,54.0,cifar_9_200.onnx,sat,1.9282348155975344,1535.0,54.0,bab,54.0 cifar_9_200.onnx 0.002,1,1,True
11277,,CIFAR,0.002,86.0,convMedGRELU__PGDK_w_0.0313.onnx,sat,3.1800870895385738,2490.0,86.0,bab,86.0 convMedGRELU__PGDK_w_0.0313.onnx 0.002,1,1,True
6620,,CIFAR,0.002,54.0,cifar_7_1024.onnx,unsat,3.768531084060669,1532.0,54.0,bab,54.0 cifar_7_1024.onnx 0.002,1,1,True
11279,,,0.002,86.0,convMedGRELU__PGDK_w_0.0313.onnx,unsat,4.358,1286.0,,eran,86.0 convMedGRELU__PGDK_w_0.0313.onnx 0.002,1,1,True
6617,,CIFAR,0.002,54.0,cifar_6_100.onnx,sat,1.6981258392333984,1530.0,54.0,bab,54.0 cifar_6_100.onnx 0.002,1,1,True
6616,,,0.002,54.0,cifar_6_100.onnx,unsat,0.528,354.0,,eran,54.0 cifar_6_100.onnx 0.002,1,1,True
11280,,,0.002,86.0,convMedGRELU__Point.onnx,sat,126.257,686.0,,eran,86.0 convMedGRELU__Point.onnx 0.002,1,1,True
6614,,,0.002,54.0,cifar_4_100.onnx,unsat,0.387,2254.0,,eran,54.0 cifar_4_100.onnx 0.002,1,1,True
6613,,CIFAR,0.002,54.0,cifar_4_100.onnx,sat,0.6598548889160156,1529.0,54.0,bab,54.0 cifar_4_100.onnx 0.002,1,1,True
11282,,CIFAR,0.002,86.0,convMedGRELU__Point.onnx,sat,4.089210510253906,2493.0,86.0,bab,86.0 convMedGRELU__Point.onnx 0.002,1,1,True
6601,,,0.002,54.0,cifar10_8_255_simplified.onnx,unsat,16.242,254.0,,eran,54.0 cifar10_8_255_simplified.onnx 0.002,1,1,True
6600,,CIFAR,0.002,54.0,cifar10_8_255_simplified.onnx,sat,10.81737756729126,1548.0,54.0,bab,54.0 cifar10_8_255_simplified.onnx 0.002,1,1,True
6599,,CIFAR,0.002,54.0,cifar10_8_255.onnx,sat,11.170956373214722,1543.0,54.0,bab,54.0 cifar10_8_255.onnx 0.002,1,1,True
6598,,,0.002,54.0,cifar10_8_255.onnx,unsat,16.294,2454.0,,eran,54.0 cifar10_8_255.onnx 0.002,1,1,True
11301,,CIFAR,0.002,86.0,convSmallRELU__DiffAI.onnx,sat,1.451742172241211,2444.0,86.0,bab,86.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
6697,,CIFAR,0.002,54.0,ffnnRELU__Point_6_500.onnx,unsat,1.7110958099365234,1545.0,54.0,bab,54.0 ffnnRELU__Point_6_500.onnx 0.002,1,1,True
6723,,,0.002,55.0,cifar10_2_255.onnx,unsat,86.926,2855.0,,eran,55.0 cifar10_2_255.onnx 0.002,1,1,True
6529,,,0.002,53.0,convMedGRELU__Point.onnx,unsat,8.802,653.0,,eran,53.0 convMedGRELU__Point.onnx 0.002,1,1,True
6814,,CIFAR,0.002,55.0,convSmallRELU__DiffAI.onnx,unsat,1.4884092807769775,1575.0,55.0,bab,55.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
6822,,,0.002,55.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,8.541,3255.0,,eran,55.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
6821,,,0.002,55.0,convSmallRELU__Point.onnx,sat,17.476,3155.0,,eran,55.0 convSmallRELU__Point.onnx 0.002,1,1,True
6820,,CIFAR,0.002,55.0,convSmallRELU__Point.onnx,sat,2.529547691345215,1580.0,55.0,bab,55.0 convSmallRELU__Point.onnx 0.002,1,1,True
11238,,,0.002,86.0,cifar_7_1024.onnx,unsat,23.56,2786.0,,eran,86.0 cifar_7_1024.onnx 0.002,1,1,True
6818,,,0.002,55.0,convSmallRELU__PGDK.onnx,unsat/sat,1.320260763168335,395.0,395.0,abcrown,55.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6817,,CIFAR,0.002,55.0,convSmallRELU__PGDK.onnx,unsat,1.4442737102508545,1577.0,55.0,bab,55.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6816,,,0.002,55.0,convSmallRELU__PGDK.onnx,unsat,1.885,1555.0,,eran,55.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6815,,,0.002,55.0,convSmallRELU__DiffAI.onnx,unsat,1.209,3055.0,,eran,55.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
11239,,CIFAR,0.002,86.0,cifar_7_1024.onnx,sat,3.050902843475342,2445.0,86.0,bab,86.0 cifar_7_1024.onnx 0.002,1,1,True
6825,,,0.002,55.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,9.264,2055.0,,eran,55.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
6793,,,0.002,55.0,convMedGRELU__Point.onnx,unsat,9.28,655.0,,eran,55.0 convMedGRELU__Point.onnx 0.002,1,1,True
6792,,CIFAR,0.002,55.0,convMedGRELU__Point.onnx,unsat,3.1581385135650635,1597.0,55.0,bab,55.0 convMedGRELU__Point.onnx 0.002,1,1,True
11241,,,0.002,86.0,cifar_9_200.onnx,unsat,2.92,1686.0,,eran,86.0 cifar_9_200.onnx 0.002,1,1,True
6790,,,0.002,55.0,convMedGRELU__PGDK_w_0.0313.onnx,unsat,8.343,1255.0,,eran,55.0 convMedGRELU__PGDK_w_0.0313.onnx 0.002,1,1,True
