,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
11250,,,0.002,86.0,cifar_conv_maxpool.onnx,unsat,22.677,3786.0,,eran,86.0 cifar_conv_maxpool.onnx 0.002,1,1,True
11118,,,0.002,85.0,cifar_conv_maxpool.onnx,unsat,24.061,3785.0,,eran,85.0 cifar_conv_maxpool.onnx 0.002,1,1,True
10986,,,0.002,84.0,cifar_conv_maxpool.onnx,unsat,20.119,3784.0,,eran,84.0 cifar_conv_maxpool.onnx 0.002,1,1,True
10856,,,0.002,83.0,cifar_conv_maxpool.onnx,unsat,487.758,3783.0,,eran,83.0 cifar_conv_maxpool.onnx 0.002,1,1,True
10724,,,0.002,82.0,cifar_conv_maxpool.onnx,unsat,551.758,3782.0,,eran,82.0 cifar_conv_maxpool.onnx 0.002,1,1,True
10590,,,0.002,81.0,cifar_conv_maxpool.onnx,unsat,22.542,3781.0,,eran,81.0 cifar_conv_maxpool.onnx 0.002,1,1,True
10459,,,0.002,80.0,cifar_conv_maxpool.onnx,unsat,623.439,3780.0,,eran,80.0 cifar_conv_maxpool.onnx 0.002,1,1,True
10327,,,0.002,8.0,cifar_conv_maxpool.onnx,unsat,555.613,3708.0,,eran,8.0 cifar_conv_maxpool.onnx 0.002,1,1,True
6763,,,0.002,55.0,cifar_conv_maxpool.onnx,unsat,26.67,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.002,1,1,True
6630,,,0.002,54.0,cifar_conv_maxpool.onnx,unsat,488.884,3754.0,,eran,54.0 cifar_conv_maxpool.onnx 0.002,1,1,True
6499,,,0.002,53.0,cifar_conv_maxpool.onnx,unsat,24.422,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.002,1,1,True
3201,,,0.002,30.0,cifar_conv_maxpool.onnx,unsat,28.575,3730.0,,eran,30.0 cifar_conv_maxpool.onnx 0.002,1,1,True
