,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
16325,,,0.004,42.0,mnist_6_100.onnx,time-out or unsolved,3600.0,42.0,42.0,eran,42.0 mnist_6_100.onnx 0.004,0,0,False
42184,,,0.01,96.0,mnist_nn.onnx,time-out or unsolved,3600.0,896.0,,abcrown,96.0 mnist_nn.onnx 0.01,0,0,False
801,,,0.008,1.0,mnist_net_256x4.onnx,time-out or unsolved,3600.0,501.0,,abcrown,1.0 mnist_net_256x4.onnx 0.008,0,0,False
42186,,,0.012,96.0,mnist_nn.onnx,time-out or unsolved,3600.0,896.0,,abcrown,96.0 mnist_nn.onnx 0.012,0,0,False
15627,,,0.006,40.0,mnist_net_256x4.onnx,time-out or unsolved,3600.0,540.0,,abcrown,40.0 mnist_net_256x4.onnx 0.006,0,0,False
42189,,,0.002,96.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,196.0,,abcrown,96.0 rsl18a_linf01.onnx 0.002,0,0,False
798,,,0.006,1.0,mnist_net_256x4.onnx,time-out or unsolved,3600.0,501.0,,abcrown,1.0 mnist_net_256x4.onnx 0.006,0,0,False
16322,,,0.002,42.0,mnist_6_100.onnx,time-out or unsolved,3600.0,42.0,42.0,eran,42.0 mnist_6_100.onnx 0.002,0,0,False
796,,,0.005,1.0,mnist_net_256x4.onnx,time-out or unsolved,3600.0,501.0,,abcrown,1.0 mnist_net_256x4.onnx 0.005,0,0,False
42194,,,0.004,96.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,196.0,,abcrown,96.0 rsl18a_linf01.onnx 0.004,0,0,False
793,,,0.004,1.0,mnist_net_256x4.onnx,time-out or unsolved,3600.0,501.0,,abcrown,1.0 mnist_net_256x4.onnx 0.004,0,0,False
42197,,,0.005,96.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,196.0,,abcrown,96.0 rsl18a_linf01.onnx 0.005,0,0,False
42198,,,0.006,96.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,196.0,,abcrown,96.0 rsl18a_linf01.onnx 0.006,0,0,False
16319,,MNIST,0.012,42.0,mnist_5_100.onnx,time-out or unsolved,3600.0,673.0,42.0,abcrown,42.0 mnist_5_100.onnx 0.012,0,0,False
16318,,MNIST,0.012,42.0,mnist_5_100.onnx,time-out or unsolved,3600.0,673.0,42.0,eran,42.0 mnist_5_100.onnx 0.012,0,0,False
42201,,,0.008,96.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,196.0,,abcrown,96.0 rsl18a_linf01.onnx 0.008,0,0,False
790,,,0.002,1.0,mnist_net_256x4.onnx,time-out or unsolved,3600.0,501.0,,abcrown,1.0 mnist_net_256x4.onnx 0.002,0,0,False
42204,,,0.01,96.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,196.0,,abcrown,96.0 rsl18a_linf01.onnx 0.01,0,0,False
788,,,0.012,1.0,mnist_net_256x2.onnx,time-out or unsolved,3600.0,701.0,,abcrown,1.0 mnist_net_256x2.onnx 0.012,0,0,False
16316,,MNIST,0.01,42.0,mnist_5_100.onnx,time-out or unsolved,3600.0,699.0,42.0,abcrown,42.0 mnist_5_100.onnx 0.01,0,0,False
42207,,,0.012,96.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,196.0,,abcrown,96.0 rsl18a_linf01.onnx 0.012,0,0,False
15632,,,0.008,40.0,mnist_net_256x4.onnx,time-out or unsolved,3600.0,540.0,,abcrown,40.0 mnist_net_256x4.onnx 0.008,0,0,False
42321,,MNIST,0.006,97.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1648.0,97.0,abcrown,97.0 mnist_3_100.onnx 0.006,0,0,False
42323,,MNIST,0.006,97.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1648.0,97.0,eran,97.0 mnist_3_100.onnx 0.006,0,0,False
42378,,MNIST,0.004,97.0,mnist_5_100.onnx,time-out or unsolved,3600.0,1659.0,97.0,abcrown,97.0 mnist_5_100.onnx 0.004,0,0,False
42364,,MNIST,0.006,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1650.0,97.0,abcrown,97.0 mnist_4_1024.onnx 0.006,0,0,False
42353,,MNIST,0.012,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1532.0,97.0,abcrown,97.0 mnist_3_50.onnx 0.012,0,0,False
756,,,0.006,1.0,mnist_net.onnx,time-out or unsolved,3600.0,1.0,,abcrown,1.0 mnist_net.onnx 0.006,0,0,False
42355,,MNIST,0.002,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1659.0,97.0,eran,97.0 mnist_4_1024.onnx 0.002,0,0,False
42356,,MNIST,0.002,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1659.0,97.0,abcrown,97.0 mnist_4_1024.onnx 0.002,0,0,False
42357,,MNIST,0.004,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1658.0,97.0,abcrown,97.0 mnist_4_1024.onnx 0.004,0,0,False
16294,,MNIST,0.01,42.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,698.0,42.0,eran,42.0 mnist_4_1024.onnx 0.01,0,0,False
42359,,MNIST,0.004,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1658.0,97.0,eran,97.0 mnist_4_1024.onnx 0.004,0,0,False
42360,,MNIST,0.005,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1654.0,97.0,abcrown,97.0 mnist_4_1024.onnx 0.005,0,0,False
15639,,,0.002,40.0,mnist_net_256x6.onnx,time-out or unsolved,3600.0,240.0,,abcrown,40.0 mnist_net_256x6.onnx 0.002,0,0,False
42362,,MNIST,0.005,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1654.0,97.0,eran,97.0 mnist_4_1024.onnx 0.005,0,0,False
753,,,0.005,1.0,mnist_net.onnx,time-out or unsolved,3600.0,1.0,,abcrown,1.0 mnist_net.onnx 0.005,0,0,False
42365,,MNIST,0.006,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1650.0,97.0,eran,97.0 mnist_4_1024.onnx 0.006,0,0,False
42324,,MNIST,0.008,97.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1622.0,97.0,abcrown,97.0 mnist_3_100.onnx 0.008,0,0,False
42366,,MNIST,0.008,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1624.0,97.0,abcrown,97.0 mnist_4_1024.onnx 0.008,0,0,False
42367,,MNIST,0.008,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1624.0,97.0,eran,97.0 mnist_4_1024.onnx 0.008,0,0,False
16292,,MNIST,0.008,42.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,715.0,42.0,abcrown,42.0 mnist_4_1024.onnx 0.008,0,0,False
42369,,MNIST,0.01,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1596.0,97.0,eran,97.0 mnist_4_1024.onnx 0.01,0,0,False
751,,,0.004,1.0,mnist_net.onnx,time-out or unsolved,3600.0,1.0,,abcrown,1.0 mnist_net.onnx 0.004,0,0,False
42371,,MNIST,0.01,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1596.0,97.0,abcrown,97.0 mnist_4_1024.onnx 0.01,0,0,False
42372,,MNIST,0.012,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1533.0,97.0,abcrown,97.0 mnist_4_1024.onnx 0.012,0,0,False
42373,,MNIST,0.012,97.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1533.0,97.0,eran,97.0 mnist_4_1024.onnx 0.012,0,0,False
16291,,MNIST,0.008,42.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,715.0,42.0,eran,42.0 mnist_4_1024.onnx 0.008,0,0,False
42376,,MNIST,0.002,97.0,mnist_5_100.onnx,time-out or unsolved,3600.0,1660.0,97.0,eran,97.0 mnist_5_100.onnx 0.002,0,0,False
42377,,MNIST,0.002,97.0,mnist_5_100.onnx,time-out or unsolved,3600.0,1660.0,97.0,abcrown,97.0 mnist_5_100.onnx 0.002,0,0,False
16295,,MNIST,0.01,42.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,698.0,42.0,abcrown,42.0 mnist_4_1024.onnx 0.01,0,0,False
42351,,MNIST,0.012,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1532.0,97.0,eran,97.0 mnist_3_50.onnx 0.012,0,0,False
15638,,,0.012,40.0,mnist_net_256x4.onnx,time-out or unsolved,3600.0,540.0,,abcrown,40.0 mnist_net_256x4.onnx 0.012,0,0,False
42349,,MNIST,0.01,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1595.0,97.0,eran,97.0 mnist_3_50.onnx 0.01,0,0,False
42325,,MNIST,0.008,97.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1622.0,97.0,eran,97.0 mnist_3_100.onnx 0.008,0,0,False
766,,,0.012,1.0,mnist_net.onnx,time-out or unsolved,3600.0,1.0,,abcrown,1.0 mnist_net.onnx 0.012,0,0,False
42327,,MNIST,0.01,97.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1594.0,97.0,eran,97.0 mnist_3_100.onnx 0.01,0,0,False
42328,,MNIST,0.01,97.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1594.0,97.0,abcrown,97.0 mnist_3_100.onnx 0.01,0,0,False
16301,,MNIST,0.002,42.0,mnist_5_100.onnx,time-out or unsolved,3600.0,725.0,42.0,eran,42.0 mnist_5_100.onnx 0.002,0,0,False
42330,,MNIST,0.012,97.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1531.0,97.0,abcrown,97.0 mnist_3_100.onnx 0.012,0,0,False
42331,,MNIST,0.012,97.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1531.0,97.0,eran,97.0 mnist_3_100.onnx 0.012,0,0,False
16300,,MNIST,0.002,42.0,mnist_5_100.onnx,time-out or unsolved,3600.0,725.0,42.0,abcrown,42.0 mnist_5_100.onnx 0.002,0,0,False
42333,,MNIST,0.002,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1658.0,97.0,eran,97.0 mnist_3_50.onnx 0.002,0,0,False
763,,,0.01,1.0,mnist_net.onnx,time-out or unsolved,3600.0,1.0,,abcrown,1.0 mnist_net.onnx 0.01,0,0,False
42335,,MNIST,0.002,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1658.0,97.0,abcrown,97.0 mnist_3_50.onnx 0.002,0,0,False
42336,,MNIST,0.004,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1657.0,97.0,abcrown,97.0 mnist_3_50.onnx 0.004,0,0,False
42338,,MNIST,0.004,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1657.0,97.0,eran,97.0 mnist_3_50.onnx 0.004,0,0,False
761,,,0.008,1.0,mnist_net.onnx,time-out or unsolved,3600.0,1.0,,abcrown,1.0 mnist_net.onnx 0.008,0,0,False
42340,,MNIST,0.005,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1653.0,97.0,eran,97.0 mnist_3_50.onnx 0.005,0,0,False
42341,,MNIST,0.005,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1653.0,97.0,abcrown,97.0 mnist_3_50.onnx 0.005,0,0,False
42342,,MNIST,0.006,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1649.0,97.0,abcrown,97.0 mnist_3_50.onnx 0.006,0,0,False
42343,,MNIST,0.006,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1649.0,97.0,eran,97.0 mnist_3_50.onnx 0.006,0,0,False
16298,,MNIST,0.012,42.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,672.0,42.0,eran,42.0 mnist_4_1024.onnx 0.012,0,0,False
42345,,MNIST,0.008,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1623.0,97.0,abcrown,97.0 mnist_3_50.onnx 0.008,0,0,False
