,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
5165,,mnist,0.012,N33,MNIST_P60_N33,unsat,60.6155,765.0,verinet,MNIST_P60_N33 N33 0.012,True,1,1
5161,,mnist,0.012,N19,MNIST_P64_N19,unsat,50.0781,761.0,verinet,MNIST_P64_N19 N19 0.012,True,1,1
5156,,mnist,0.012,N21,MNIST_P16_N21,unsat,52.1769,756.0,verinet,MNIST_P16_N21 N21 0.012,True,1,1
5151,,mnist,0.012,N4,MNIST_P30_N4,unsat,51.6311,751.0,verinet,MNIST_P30_N4 N4 0.012,True,1,1
5121,,mnist,0.012,N33,MNIST_P68_N33,unsat,60.4713,721.0,verinet,MNIST_P68_N33 N33 0.012,True,1,1
5110,,mnist,0.012,N19,MNIST_P74_N19,unsat,49.6782,710.0,verinet,MNIST_P74_N19 N19 0.012,True,1,1
5101,,mnist,0.012,N33,MNIST_P0_N33,unsat,58.421,701.0,verinet,MNIST_P0_N33 N33 0.012,True,1,1
5095,,mnist,0.012,N4,MNIST_P76_N4,unsat,51.6005,695.0,verinet,MNIST_P76_N4 N4 0.012,True,1,1
5093,,mnist,0.012,N33,MNIST_P36_N33,unsat,59.1696,693.0,verinet,MNIST_P36_N33 N33 0.012,True,1,1
5079,,mnist,0.012,N4,MNIST_P59_N4,unsat,50.295,679.0,verinet,MNIST_P59_N4 N4 0.012,True,1,1
5050,,mnist,0.012,N4,MNIST_P48_N4,unsat,50.5557,650.0,verinet,MNIST_P48_N4 N4 0.012,True,1,1
5047,,mnist,0.012,N33,MNIST_P31_N33,unsat,58.6231,647.0,verinet,MNIST_P31_N33 N33 0.012,True,1,1
5044,,mnist,0.012,N4,MNIST_P3_N4,unsat,51.8466,644.0,verinet,MNIST_P3_N4 N4 0.012,True,1,1
5042,,mnist,0.012,N4,MNIST_P21_N4,unsat,50.6125,642.0,verinet,MNIST_P21_N4 N4 0.012,True,1,1
5037,,mnist,0.012,N12,MNIST_P77_N12,unsat,60.1055,637.0,verinet,MNIST_P77_N12 N12 0.012,True,1,1
5033,,mnist,0.012,N21,MNIST_P56_N21,unsat,51.9392,633.0,verinet,MNIST_P56_N21 N21 0.012,True,1,1
5015,,mnist,0.012,N4,MNIST_P60_N4,unsat,50.1709,615.0,verinet,MNIST_P60_N4 N4 0.012,True,1,1
