,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
10983,,mnist,0.008,N17,MNIST_P56_N17,unsat,54.6884,2183.0,marabou,MNIST_P56_N17 N17 0.008,True,1,1
11313,,mnist,0.005,N26,MNIST_P26_N26,unsat,10.7831,2513.0,marabou,MNIST_P26_N26 N26 0.005,True,1,1
1520,,mnist,0.002,N26,MNIST_P76_N26,unsat,10.4974,1520.0,marabou,MNIST_P76_N26 N26 0.002,True,1,1
11004,,mnist,0.008,N17,MNIST_P70_N17,unsat,54.1244,2204.0,marabou,MNIST_P70_N17 N17 0.008,True,1,1
8590,,mnist,0.004,N26,MNIST_P70_N26,unsat,10.2681,4190.0,marabou,MNIST_P70_N26 N26 0.004,True,1,1
11072,,mnist,0.008,N26,MNIST_P41_N26,unsat,10.6524,2272.0,marabou,MNIST_P41_N26 N26 0.008,True,1,1
8599,,mnist,0.004,N17,MNIST_P91_N17,unsat,54.2146,4199.0,marabou,MNIST_P91_N17 N17 0.004,True,1,1
8604,,mnist,0.004,N17,MNIST_P7_N17,unsat,54.6992,4204.0,marabou,MNIST_P7_N17 N17 0.004,True,1,1
1522,,mnist,0.002,N26,MNIST_P84_N26,unsat,10.7232,1522.0,marabou,MNIST_P84_N26 N26 0.002,True,1,1
8635,,mnist,0.004,N17,MNIST_P1_N17,unsat,55.4076,4235.0,marabou,MNIST_P1_N17 N17 0.004,True,1,1
11122,,mnist,0.008,N17,MNIST_P47_N17,unsat,54.3706,2322.0,marabou,MNIST_P47_N17 N17 0.008,True,1,1
2577,,mnist,0.002,N17,MNIST_P67_N17,unsat,52.3615,2577.0,marabou,MNIST_P67_N17 N17 0.002,True,1,1
2570,,mnist,0.002,N3,MNIST_P69_N3,unsat,45.4241,2570.0,marabou,MNIST_P69_N3 N3 0.002,True,1,1
8523,,mnist,0.004,N26,MNIST_P88_N26,unsat,10.7241,4123.0,marabou,MNIST_P88_N26 N26 0.004,True,1,1
1442,,mnist,0.002,N26,MNIST_P88_N26,unsat,10.5917,1442.0,marabou,MNIST_P88_N26 N26 0.002,True,1,1
2670,,mnist,0.002,N26,MNIST_P45_N26,unsat,10.6549,2670.0,marabou,MNIST_P45_N26 N26 0.002,True,1,1
8473,,mnist,0.004,N17,MNIST_P94_N17,unsat,53.9943,4073.0,marabou,MNIST_P94_N17 N17 0.004,True,1,1
2655,,mnist,0.002,N17,MNIST_P86_N17,unsat,52.9306,2655.0,marabou,MNIST_P86_N17 N17 0.002,True,1,1
1327,,mnist,0.002,N17,MNIST_P29_N17,unsat,53.5681,1327.0,marabou,MNIST_P29_N17 N17 0.002,True,1,1
1328,,mnist,0.002,N26,MNIST_P47_N26,unsat,10.3403,1328.0,marabou,MNIST_P47_N26 N26 0.002,True,1,1
1330,,mnist,0.002,N17,MNIST_P23_N17,unsat,52.9837,1330.0,marabou,MNIST_P23_N17 N17 0.002,True,1,1
1333,,mnist,0.002,N26,MNIST_P74_N26,unsat,10.8746,1333.0,marabou,MNIST_P74_N26 N26 0.002,True,1,1
8376,,mnist,0.004,N17,MNIST_P17_N17,unsat,54.5364,3976.0,marabou,MNIST_P17_N17 N17 0.004,True,1,1
11264,,mnist,0.005,N17,MNIST_P96_N17,unsat,53.7796,2464.0,marabou,MNIST_P96_N17 N17 0.005,True,1,1
1387,,mnist,0.002,N26,MNIST_P94_N26,unsat,10.8771,1387.0,marabou,MNIST_P94_N26 N26 0.002,True,1,1
8397,,mnist,0.004,N17,MNIST_P20_N17,unsat,54.0862,3997.0,marabou,MNIST_P20_N17 N17 0.004,True,1,1
1394,,mnist,0.002,N17,MNIST_P50_N17,unsat,53.8265,1394.0,marabou,MNIST_P50_N17 N17 0.002,True,1,1
2621,,mnist,0.002,N26,MNIST_P75_N26,unsat,10.8271,2621.0,marabou,MNIST_P75_N26 N26 0.002,True,1,1
10777,,mnist,0.008,N17,MNIST_P28_N17,unsat,54.3069,1977.0,marabou,MNIST_P28_N17 N17 0.008,True,1,1
10784,,mnist,0.008,N17,MNIST_P3_N17,unsat,53.769,1984.0,marabou,MNIST_P3_N17 N17 0.008,True,1,1
8434,,mnist,0.004,N17,MNIST_P56_N17,unsat,54.3952,4034.0,marabou,MNIST_P56_N17 N17 0.004,True,1,1
11306,,mnist,0.005,N17,MNIST_P89_N17,unsat,54.74,2506.0,marabou,MNIST_P89_N17 N17 0.005,True,1,1
8437,,mnist,0.004,N17,MNIST_P54_N17,unsat,54.5612,4037.0,marabou,MNIST_P54_N17 N17 0.004,True,1,1
2619,,mnist,0.002,N17,MNIST_P4_N17,unsat,54.2129,2619.0,marabou,MNIST_P4_N17 N17 0.002,True,1,1
174,,mnist,0.002,N17,MNIST_P35_N17,unsat,55.39,174.0,marabou,MNIST_P35_N17 N17 0.002,True,1,1
215,,mnist,0.002,N3,MNIST_P10_N3,unsat,48.4106,215.0,marabou,MNIST_P10_N3 N3 0.002,True,1,1
167,,mnist,0.002,N17,MNIST_P81_N17,unsat,59.1978,167.0,marabou,MNIST_P81_N17 N17 0.002,True,1,1
4784,,mnist,0.004,N17,MNIST_P31_N17,unsat,56.0718,384.0,marabou,MNIST_P31_N17 N17 0.004,True,1,1
9431,,mnist,0.005,N17,MNIST_P2_N17,unsat,55.4565,631.0,marabou,MNIST_P2_N17 N17 0.005,True,1,1
4021,,mnist,0.002,N26,MNIST_P61_N26,unsat,10.6143,4021.0,marabou,MNIST_P61_N26 N26 0.002,True,1,1
12463,,mnist,0.005,N17,MNIST_P59_N17,unsat,54.1101,3663.0,marabou,MNIST_P59_N17 N17 0.005,True,1,1
4831,,mnist,0.004,N17,MNIST_P71_N17,unsat,54.4781,431.0,marabou,MNIST_P71_N17 N17 0.004,True,1,1
4836,,mnist,0.004,N17,MNIST_P4_N17,unsat,53.8752,436.0,marabou,MNIST_P4_N17 N17 0.004,True,1,1
4842,,mnist,0.004,N17,MNIST_P55_N17,unsat,55.6008,442.0,marabou,MNIST_P55_N17 N17 0.004,True,1,1
4014,,mnist,0.002,N26,MNIST_P48_N26,unsat,10.7493,4014.0,marabou,MNIST_P48_N26 N26 0.002,True,1,1
9507,,mnist,0.005,N17,MNIST_P67_N17,unsat,54.8876,707.0,marabou,MNIST_P67_N17 N17 0.005,True,1,1
5934,,mnist,0.006,N17,MNIST_P70_N17,unsat,56.3064,1534.0,marabou,MNIST_P70_N17 N17 0.006,True,1,1
4863,,mnist,0.004,N17,MNIST_P74_N17,unsat,56.6722,463.0,marabou,MNIST_P74_N17 N17 0.004,True,1,1
9515,,mnist,0.005,N17,MNIST_P40_N17,unsat,55.96,715.0,marabou,MNIST_P40_N17 N17 0.005,True,1,1
3988,,mnist,0.002,N26,MNIST_P91_N26,unsat,10.5209,3988.0,marabou,MNIST_P91_N26 N26 0.002,True,1,1
4911,,mnist,0.004,N17,MNIST_P41_N17,unsat,54.5286,511.0,marabou,MNIST_P41_N17 N17 0.004,True,1,1
