,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
5881,,mnist,0.02,N18,MNIST_P58_N18,timeout,3600.0,1481.0,marabou,MNIST_P58_N18 N18 0.02,False,0,0
5880,,mnist,0.02,N5,MNIST_P95_N5,timeout,3600.0,1480.0,marabou,MNIST_P95_N5 N5 0.02,False,0,0
5872,,mnist,0.02,N49,MNIST_P3_N49,outofmemory,3600.0,1472.0,marabou,MNIST_P3_N49 N49 0.02,False,0,0
5866,,mnist,0.02,N49,MNIST_P38_N49,outofmemory,3600.0,1466.0,marabou,MNIST_P38_N49 N49 0.02,False,0,0
5861,,mnist,0.02,N48,MNIST_P7_N48,outofmemory,3600.0,1461.0,marabou,MNIST_P7_N48 N48 0.02,False,0,0
5842,,mnist,0.02,N48,MNIST_P41_N48,outofmemory,3600.0,1442.0,marabou,MNIST_P41_N48 N48 0.02,False,0,0
6074,,mnist,0.02,N18,MNIST_P91_N18,timeout,3600.0,1674.0,marabou,MNIST_P91_N18 N18 0.02,False,0,0
6077,,mnist,0.02,N48,MNIST_P4_N48,outofmemory,3600.0,1677.0,marabou,MNIST_P4_N48 N48 0.02,False,0,0
6078,,mnist,0.02,N48,MNIST_P29_N48,outofmemory,3600.0,1678.0,marabou,MNIST_P29_N48 N48 0.02,False,0,0
6086,,mnist,0.02,N15,MNIST_P44_N15,outofmemory,3600.0,1686.0,marabou,MNIST_P44_N15 N15 0.02,False,0,0
6256,,mnist,0.02,N15,MNIST_P38_N15,outofmemory,3600.0,1856.0,marabou,MNIST_P38_N15 N15 0.02,False,0,0
6245,,mnist,0.02,N5,MNIST_P62_N5,outofmemory,3600.0,1845.0,marabou,MNIST_P62_N5 N5 0.02,False,0,0
6239,,mnist,0.02,N18,MNIST_P4_N18,timeout,3600.0,1839.0,marabou,MNIST_P4_N18 N18 0.02,False,0,0
6237,,mnist,0.02,N49,MNIST_P59_N49,outofmemory,3600.0,1837.0,marabou,MNIST_P59_N49 N49 0.02,False,0,0
