,mnist standalone,mnist absolute marginal contribution,mnist relative marginal contribution,mnist shapley values,mnist number solved,mnist Average runtime,mnist All runtime,cifar standalone,cifar absolute marginal contribution,cifar relative marginal contribution,cifar shapley values,cifar number solved,cifar Average runtime,cifar All runtime
babsb,5993,143,0.05848670756646217,380.275,5993,3183.049022281094,2013.3092971372803,3600,0,0.0,234.4,3600,2965.6280671733803,
marabou,14072,1057,0.43231083844580775,1493.1,14072,1697.0092215746301,23.715411906310997,5071,15,0.007545271629778672,390.625,5071,2093.769777721476,
neurify,12255,300,0.12269938650306748,886.0583333333333,12255,1872.8465404450724,6.598585296031229,10985,1422,0.7152917505030181,1994.775,10985,283.2379686935225,
nnenum,22464,394,0.16114519427402862,2378.366666666667,22464,516.6970046194906,80.31797065712426,1022,80,0.04024144869215292,116.91666666666667,1022,3308.155058035639,
verinet,23386,551,0.22535787321063394,2593.7166666666667,23386,348.79702908669884,58.036764411190624,10293,471,0.2369215291750503,1567.275,10293,486.55543463389915,
